MainIsland,Region,Province,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectId,ProjectName,TypeOfWork,FundingYear,ContractId,ApprovedBudgetForContract,ContractCost,ActualCompletionDate,Contractor,ContractorCount,StartDate,ProjectLatitude,ProjectLongitude,ProvincialCapital,ProvincialCapitalLatitude,ProvincialCapitalLongitude,CostSavings,CompletionDelayDays
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00526268LZ,"Construction of Poblacion Flood Control Structure along Apayao River, Sta. 136 + 247.68 - Sta. 136 + 752.68 (L/S), Calanasan, Apayao",Construction of Flood Mitigation Structure,2021,21PC0018,96500000,92692943.8,Mon Oct 03 2022 00:00:00 GMT+0800 (Philippine Standard Time),ASC CONSTRUCTION & CONCRETE PRODUCTS,1,Thu Mar 18 2021 00:00:00 GMT+0800 (Philippine Standard Time),18.25091,121.04757,Kabugao,18.0215,121.1716,3807056.200000003,564
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00526368LZ,"Construction of Cabicungan Flood Control Structure, Sta. 13 + 580 - Sta. 13 + 605 (L/S), Sta 13+180-Sta 13+280 (L/S), Sta 13+460-Sta 13+510 (R/S), Sta 13+230-Sta 13+430 (R/S), Calanasan, Apayao",Construction of Flood Mitigation Structure,2021,21PC0019,49000000,47521251.3,Thu Nov 24 2022 00:00:00 GMT+0800 (Philippine Standard Time),ASC CONSTRUCTION & CONCRETE PRODUCTS,1,Wed Dec 01 2021 00:00:00 GMT+0800 (Philippine Standard Time),18.5118,121.07829,Kabugao,18.0215,121.1716,1478748.700000003,358
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00526369LZ,"Construction of Sipa-San Mariano Flood Control Structure along Apayao River, Sta. 25 + 380 - Sta. 25 + 700 (L/S), Sta. Marcela, Apayao",Construction of Flood Mitigation Structure,2021,21PC0010,47423180,45942583.67,Mon Nov 28 2022 00:00:00 GMT+0800 (Philippine Standard Time),ASC CONSTRUCTION & CONCRETE PRODUCTS,1,Wed Dec 01 2021 00:00:00 GMT+0800 (Philippine Standard Time),18.27023,121.42022,Kabugao,18.0215,121.1716,1480596.3299999982,362
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00561270LZ,"Construction of Sta. Filomena Floodway/ Flood Control Structure, Sta. Filomena, Calanasan, Apayao",Construction of Flood Mitigation Structure,2021,21PC0067,9900000,9900000,Thu Dec 15 2022 00:00:00 GMT+0800 (Philippine Standard Time),ASC CONSTRUCTION & CONCRETE PRODUCTS,1,Wed Dec 01 2021 00:00:00 GMT+0800 (Philippine Standard Time),18.53566,121.0802,Kabugao,18.0215,121.1716,0,379
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00561652LZ,"Construction of Sinigpit Flood Control, Calanasan, Apayao",Construction of Flood Mitigation Structure,2021,21PC0034,4950000,4950000,Fri Sep 23 2022 00:00:00 GMT+0800 (Philippine Standard Time),ALEPHNORTH PEAK CONSTRUCTION AND DEVELOPMENT CO.,1,Wed Dec 01 2021 00:00:00 GMT+0800 (Philippine Standard Time),18.52723,121.096812,Kabugao,18.0215,121.1716,0,296
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 1st District Engineering Office,P00526367LZ,"Construction of Nabuangan River (Upstream) Flood Control, Sta. 37 + 807 - Sta. 38 + 267 (L/S), Sitio Paddig, Brgy. Caglayan, Conner, Apayao",Construction of Flood Mitigation Structure,2021,21PB0004,39199819.73,38292917.46,Sat Sep 24 2022 00:00:00 GMT+0800 (Philippine Standard Time),ASC CONSTRUCTION & CONCRETE PRODUCTS,1,Thu Dec 02 2021 00:00:00 GMT+0800 (Philippine Standard Time),17.8,121.3158333,Kabugao,18.0215,121.1716,906902.2699999958,296
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 1st District Engineering Office,P00526270LZ,"Construction of Nabuangan (Upstream) Flood Control, Sta. 38 + 997 - Sta. 39 + 447 (B/S), Brgy. Caglayan, Conner, Apayao",Construction of Flood Mitigation Structure,2021,21PB0013,82914680,80309010.27,Fri Apr 14 2023 00:00:00 GMT+0800 (Philippine Standard Time),ASC CONSTRUCTION & CONCRETE PRODUCTS,1,Wed Dec 22 2021 00:00:00 GMT+0800 (Philippine Standard Time),17.800278,121.308889,Kabugao,18.0215,121.1716,2605669.730000004,478
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CONNER (APAYAO),Apayao 1st District Engineering Office,P00620988LZ,"Construction of Barren River (Upstream) Flood Control Structure, Sta. 39 + 693 - Sta. 39 + 993 (L/S), Brgy. Ili, Conner, Apayao",Construction of Flood Mitigation Structure,2022,22PB0005,23519997.48,22928490.31,Wed Nov 02 2022 00:00:00 GMT+0800 (Philippine Standard Time),PRIME MASTER CONST. AND DEV'T. CORP.,1,Wed Feb 09 2022 00:00:00 GMT+0800 (Philippine Standard Time),17.82388889,121.2677778,Kabugao,18.0215,121.1716,591507.1700000018,266
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CONNER (APAYAO),Apayao 1st District Engineering Office,P00620472LZ,"Construction of Barren River (Upstream) Flood Control Structure, Sta. 39 + 693 - Sta. 39 + 893 (R/S), Brgy. Ili, Conner, Apayao",Construction of Flood Mitigation Structure,2022,22PB0004,15678924.68,15680000,Thu Dec 22 2022 00:00:00 GMT+0800 (Philippine Standard Time),BAHRAMLEY CONSTRUCTION,1,Tue Mar 01 2022 00:00:00 GMT+0800 (Philippine Standard Time),17.82388889,121.2677778,Kabugao,18.0215,121.1716,-1075.320000000298,296
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CONNER (APAYAO),Apayao 1st District Engineering Office,P00620136LZ,"Construction of Barren River (Downstream) Flood Control Structure, Sta. 39+033 - Sta. 39+693 (L/S), Brgy. Malama, Conner, Apayao",Construction of Flood Mitigation Structure,2022,22PB0010,51761907.66,51762600,Tue May 30 2023 00:00:00 GMT+0800 (Philippine Standard Time),ASC CONSTRUCTION & CONCRETE PRODUCTS,1,Mon Apr 04 2022 00:00:00 GMT+0800 (Philippine Standard Time),17.81833333,121.2686111,Kabugao,18.0215,121.1716,-692.3400000035763,421
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CONNER (APAYAO),Apayao 1st District Engineering Office,P00726398LZ,"Construction of Barren River (Downstream) Flood Control along Chico River Basin, Sta. 37 + 738 - Sta. 38 + 938 (L/S), Barangay Malama, Conner, Apayao",Construction of Revetment,2023,23PB0009,72375000,72375000,Thu Dec 14 2023 00:00:00 GMT+0800 (Philippine Standard Time),ASC CONSTRUCTION & CONCRETE PRODUCTS,1,Sun Feb 12 2023 00:00:00 GMT+0800 (Philippine Standard Time),17.81864167,121.26863889,Kabugao,18.0215,121.1716,0,305
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CONNER (APAYAO),Apayao 1st District Engineering Office,P00726655LZ,"Construction of Barren River (Downstream) Flood Control along Chico River Basin, Sta. 37 + 414 - Sta. 37 + 664 (R/S), Barangay Paddaoan, Conner, Apayao",Construction of Revetment,2023,23PB0001,24500000,24500000,Thu Jun 22 2023 00:00:00 GMT+0800 (Philippine Standard Time),GKA ENGINEERING AND CONSTRUCTION,1,Sun Feb 12 2023 00:00:00 GMT+0800 (Philippine Standard Time),17.7998075,121.28227806,Kabugao,18.0215,121.1716,0,130
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CONNER (APAYAO),Apayao 1st District Engineering Office,P00740313LZ,"Construction of Barren River (Downstream) Flood Control within Chico River Basin, Sta. 37+995 - Sta. 39+300 (R/S), Conner, Apayao",Construction of Flood Mitigation Structure,2023,23P00020,115793907.83,115800000,Thu Feb 29 2024 00:00:00 GMT+0800 (Philippine Standard Time),JOMARCANN GENERAL CONSTRUCTION / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,2,Wed Apr 12 2023 00:00:00 GMT+0800 (Philippine Standard Time),17.81972,121.26833,Kabugao,18.0215,121.1716,-6092.170000001788,323
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CALANASAN (BAYAG) (APAYAO),Apayao 2nd District Engineering Office,P00620989LZ,"Construction of Cabicungan River Basin Flood Control Structure, Dappay Section, Sta. 11 + 470 - Sta. 12 + 090 (R/S), Calanasan, Apayao",Construction of Flood Mitigation Structure,2022,22PC0034,49000000,49000000,Mon Dec 12 2022 00:00:00 GMT+0800 (Philippine Standard Time),ASC CONSTRUCTION & CONCRETE PRODUCTS,1,Wed Feb 09 2022 00:00:00 GMT+0800 (Philippine Standard Time),18.52789,121.08297,Kabugao,18.0215,121.1716,0,306
