Contractor,NumProjects,AverageCompletionDelayDays,TotalContractCost,TotalCostSavings,ReliabilityIndex,RiskFlag
LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),100,293.09,7509665430.739998,57784287.18000008,-1.736341724707141,High Risk
"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",43,344.6279069767442,5571167253.7699995,21131666.409999944,-1.0731267980726895,High Risk
QM BUILDERS,74,233.02702702702703,5469540114.870002,2912517.199999973,-0.08462394918695162,High Risk
ST. TIMOTHY CONSTRUCTION CORPORATION,77,275.57142857142856,4781019339.35,64637489.10999999,-2.787613626586912,High Risk
ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,74,289.2567567567568,4665741721.01,59801925.16999997,-2.837690451356335,High Risk
HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,49,266.3265306122449,3684007914.4800005,49374197.449999996,-2.62575770140135,High Risk
"L.R. TIQUI BUILDERS, INC.",41,329.5121951219512,3516058642.1500006,36279749.10999996,-2.745954184685335,High Risk
CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,57,288.49122807017545,3344086581.0200005,309710972.14000005,-20.425744143172032,High Risk
ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,35,253.4857142857143,3124038144.1699996,41683537.069999985,-2.423737240554557,High Risk
"M. MONTESCLAROS ENTERPRISES, INC.",28,477.92857142857144,3048143528.58,73121350.67000002,-10.33994073965815,High Risk
"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",46,245.6304347826087,2937694807.7000003,53588020.69999998,-3.154373111726403,High Risk
MG SAMIDAN CONSTRUCTION,32,230.6875,2831491351.4900002,2557448.690000005,-0.14119024527678659,High Risk
STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),37,262.81081081081084,2817068077.8699994,56999181.49000003,-3.8850773990552465,High Risk
BICOL GOLDROCK CONSTRUCTION CORPORATION,39,269.20512820512823,2803568829.1000004,10375390.609999962,-0.7368874450879433,High Risk
GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,35,287.48571428571427,2773389887.49,9678954.229999945,-0.7657917515281465,High Risk
