FundingYear,TypeOfWork,TotalProjects,AverageCostSavings,OverrunRate,YoY % Change (vs 2021)
2021,Construction of Cutoff Channel,1,196492.23000000045,0,0
2021,Construction of Dike,9,99253.59222222285,55.55555555555556,0
2021,Construction of Drainage Structure,48,1202881.8483333334,0,0
2021,Construction of Flood Mitigation Facility,3,2517053.193333333,0,0
2021,Construction of Flood Mitigation Structure,390,2444724.092820512,9.487179487179487,0
2021,Construction of Revetment,52,547871.6051923071,1.9230769230769231,0
2021,Construction of Slope Protection Structure,28,6096048.221785716,3.571428571428571,0
2021,Rehabilitation / Major Repair of Drainage Structure,11,380416.1100000003,9.090909090909092,0
2021,Rehabilitation / Major Repair of Flood Control Structure,45,1242941.7600000005,2.2222222222222223,0
2021,Rehabilitation / Major Repair of Slope Protection Structure,5,4708.0620000001045,20,0
2022,Construction of Dike,76,772732.7621052626,6.578947368421052,678.5438741352154
2022,Construction of Drainage Structure,226,746441.2584513276,8.4070796460177,-37.945587965637046
2022,Construction of Flood Mitigation Facility,43,829713.7409302327,20.930232558139537,-67.03630486920926
2022,Construction of Flood Mitigation Structure,2049,1180300.6440653994,9.712054660810152,-51.72049690467646
2022,Construction of Groundsill,2,752371.1799999997,0,
2022,Construction of Revetment,269,460817.6161710038,1.858736059479554,-15.889487280646119
2022,Construction of Slope Protection Structure,309,895934.7292233015,7.443365695792881,-85.3030242441085
2022,Construction of Spur Dike,2,-99.93500000238419,50,
2022,Construction of Waterway,1,0.5,0,
2022,Embankment,1,82651.90000000037,0,
2022,Rehabilitation / Major Repair of Drainage Structure,85,455786.64635294117,7.0588235294117645,19.81265629180132
2022,Rehabilitation / Major Repair of Flood Control Structure,255,918361.1847843139,14.901960784313726,-26.113900559241525
2022,Rehabilitation / Major Repair of Flood Mitigation Facility,1,4370780.739999995,0,
2022,Rehabilitation / Major Repair of Slope Protection Structure,16,841782.9125000008,6.25,17779.605504345145
2023,Construction of Cutoff Channel,1,198580.98999999836,0,1.0630242223816735
2023,Construction of Dike,97,22179.128247422464,1.0309278350515463,-77.65408006819067
2023,Construction of Drainage Structure,244,326534.3946311471,4.098360655737705,-72.85399267737056
2023,Construction of Flood Mitigation Facility,74,1010904.8912162177,17.56756756756757,-59.83776211429698
2023,Construction of Flood Mitigation Structure,2292,891041.0663001733,7.766143106457242,-63.55248966879666
2023,Construction of Groundsill,9,235146.98777777993,0,
2023,Construction of Revetment,236,525635.6636440674,2.5423728813559325,-4.058604486435248
2023,Construction of Slope Protection Structure,196,547223.5344897954,5.612244897959184,-91.02330699199264
2023,Construction of Spur Dike,1,318022.7299999967,0,
2023,Construction of Waterway,1,356123.3900000006,0,
2023,Rehabilitation / Major Repair of Drainage Structure,72,600574.3130555558,0,57.87299677070862
2023,Rehabilitation / Major Repair of Flood Control Structure,213,1121602.8576056336,7.042253521126761,-9.762235552723473
2023,Rehabilitation / Major Repair of Flood Mitigation Facility,5,742935.0519999999,0,
2023,Rehabilitation / Major Repair of Slope Protection Structure,13,827947.1223076937,0,17485.73107804603
2023,Repair/Maintenance of Flood Control Structures,1,1005.6899999994785,0,
2023,Upgrading of Drainage Structure,1,0,0,
